input,count
,14
videogame,2
eu tambem nao,2
fantastico,2
feliz aniversario,2
feliz natal,2
feliz ano novo,2
legal,2
muito bem,2
quantos sao,2
como,2
estou bem,2
esta ventando,2
eu tambem,2
genial,2
esta nevando,2
infraestrutura,2
infraestruturas,2
o que,2
onde,2
perfeito,2
porque,2
quando,2
quanto mede,2
quanto pesa,2
quantos,2
quantos dias,2
quem,2
esta nublado,2
esta ensolarado,2
cocacola,2
divertirse,2
raiox,2
wifi,2
cuidado,2
afastarse,2
sinto muito,2
perdao,2
deslocarse,2
arcoiris,2
email,2
guardaroupa,2
superherois,2
altofalante,2
esta chovendo,2
guardasol,2
12,2
14,2
24,2
34,2
44,2
boa noite,2
boa tarde,2
bom dia,2
covid19,2
errado,2
ziguezague,2
